epoch,g_loss,d_loss,d_real,d_fake,gp,feature_matching,pixel_diversity,epoch_time
18,2.5955862646402057,0.7109788195447886,2.426708430866564,-2.254041275788951,0.0,0.0,0.5292715963574336,123.77196621894836
19,2.6263283802226995,0.7014488794107353,2.4282933759671437,-2.3031331731887197,0.0,0.0,0.5270529076664245,123.58022499084473
20,2.6185732016813215,0.6878489333896058,2.451994665486293,-2.3028024183103506,0.0,0.0,0.528128058208075,124.8564453125
21,2.627636069886377,0.6904761150347448,2.457260552274508,-2.312413479402831,0.0,0.0,0.5279483046717047,125.37144255638123
22,2.6534189877327528,0.6732662208613794,2.4487176707012086,-2.3645338378587617,0.0,0.0,0.5281409779857896,122.25280427932739
23,2.6377164806638445,0.6751565788171988,2.470801126189511,-2.3441457708063624,0.0,0.0,0.5279764896812089,121.54976272583008
24,2.6440953764259136,0.6542550476100744,2.4791436103889635,-2.368267732677103,0.0,0.0,0.525567117009392,121.04104328155518
25,2.6539536735511535,0.6518254452649923,2.4937049041851864,-2.3828694538157973,0.0,0.0,0.5266350878663973,121.1209762096405
26,2.631899555894286,0.6657143314704581,2.4999612400310607,-2.3478563772314303,0.0,0.0,0.5253037763229664,121.46879816055298
27,2.6637804267360496,0.6478478334344895,2.493948702682775,-2.400449810148418,0.0,0.0,0.524899175567211,119.87230086326599
28,2.664130639308397,0.6464969219284323,2.4821315719975647,-2.411901578771047,0.0,0.0,0.5248909519158784,120.64141798019409
29,2.6510490098245225,0.6403247307133584,2.5056957588984377,-2.395442916769134,0.0,0.0,0.5258923955308803,119.70248675346375
30,2.666326055465697,0.639967161469755,2.498738746310663,-2.407548476249573,0.0,0.0,0.5254768545158895,121.17712712287903
31,2.668790942884501,0.6312312144319869,2.496453073248974,-2.4340655763201444,0.0,0.0,0.5262587252443871,121.30841779708862
32,2.6702176327010623,0.6176618192198906,2.5046800000618967,-2.4473457917213137,0.0,0.0,0.5251899950875042,120.30071473121643
33,2.662590001404813,0.6190119656992019,2.5009672954753888,-2.4392956186523933,0.0,0.0,0.525814513943138,120.00905537605286
34,2.6763582172157188,0.6154353954321816,2.4953693727133786,-2.45536035091137,0.0,0.0,0.5252952633329047,119.97049522399902
35,2.6767280541840757,0.6112336838139897,2.504165029495851,-2.4688214195230516,0.0,0.0,0.5246869373864078,120.18363165855408
36,2.6714987762922284,0.6140203920161227,2.5032680895245445,-2.4569978394160605,0.0,0.0,0.5254827827855699,121.223140001297
37,2.6768112680704044,0.6059836836816689,2.512045737049824,-2.465541521364566,0.0,0.0,0.5250397394640859,121.23954558372498
38,2.6650812078629973,0.6050696214178268,2.4957683789172926,-2.4721421910845467,0.0,0.0,0.5240753539443468,121.26868391036987
39,2.6636016696653835,0.6053202766006726,2.510824229317457,-2.459283331628093,0.0,0.0,0.5251804600774714,122.03368067741394
40,2.666409459224091,0.6027848764632354,2.5207524521490643,-2.4597621797295535,0.0,0.0,0.5224881222667043,122.56958842277527
41,2.660744876083924,0.5977598929073656,2.5120895284071434,-2.475202952979036,0.0,0.0,0.524441973750118,121.24595093727112
42,2.668330247159553,0.5974222286386526,2.510197007231527,-2.481463100937785,0.0,0.0,0.5242881190535693,121.18075513839722
43,2.6839520393973206,0.5968355441515425,2.4949906956482155,-2.4954279426899744,0.0,0.0,0.5244137815443514,120.60367584228516
44,2.6529720247394666,0.5995904809304344,2.5287436236964136,-2.4619451619533987,0.0,0.0,0.5228561179338002,120.38716173171997
45,2.6726533043022855,0.5944755224678218,2.5120392824733906,-2.478787627245397,0.0,0.0,0.5228944450014008,121.01875901222229
46,2.656315179506385,0.5939619186253071,2.521344203629099,-2.471813492816031,0.0,0.0,0.5241301062548658,120.71090173721313
47,2.669159662991046,0.5947651266674929,2.5166500048946197,-2.476286695697892,0.0,0.0,0.5243114472264436,121.03570246696472
48,2.672625091261267,0.5865599945206407,2.514943516056151,-2.4992735860410105,0.0,0.0,0.5205250063112804,122.13749170303345
49,2.663631134771291,0.5939419839988014,2.5273248958960646,-2.47543002002756,0.0,0.0,0.5242446222061152,123.53029227256775
50,2.6591428277917517,0.5894479324709149,2.529644882954026,-2.474934314032628,0.0,0.0,0.522697757435056,122.26464796066284
